"workerid","rt","trial_type","trial_num","name","lexant","gender","endpoint_high","morphant","endpoint_low","adjective","referent","adjective_type","antonym_type","positive","slider_position","response"
0,7330,"four_sliders",1,"Melinda","mean","female","the most friendly<br>person in the world","unfriendly","the most unfriendly<br>person in the world","not unfriendly","person","neg_morphant","morphant","friendly",1,0.73
0,7330,"four_sliders",1,"Emma","mean","female","the most friendly<br>person in the world","unfriendly","the most unfriendly<br>person in the world","friendly","person","positive","morphant","friendly",2,0.73
0,7330,"four_sliders",1,"David","mean","male","the most friendly<br>person in the world","unfriendly","the most unfriendly<br>person in the world","not friendly","person","neg_positive","morphant","friendly",3,0.25
0,7330,"four_sliders",1,"Jacob","mean","male","the most friendly<br>person in the world","unfriendly","the most unfriendly<br>person in the world","unfriendly","person","morphant","morphant","friendly",4,0.26
0,6342,"four_sliders",2,"Michael","wasteful","male","the most resourceful<br>person in the world","unresourceful","the most unresourceful<br>person in the world","not unresourceful","person","neg_morphant","morphant","resourceful",1,0.74
0,6342,"four_sliders",2,"Andrew","wasteful","male","the most resourceful<br>person in the world","unresourceful","the most unresourceful<br>person in the world","not resourceful","person","neg_positive","morphant","resourceful",2,0.21
0,6342,"four_sliders",2,"Samuel","wasteful","male","the most resourceful<br>person in the world","unresourceful","the most unresourceful<br>person in the world","unresourceful","person","morphant","morphant","resourceful",3,0.23
0,6342,"four_sliders",2,"Claire","wasteful","female","the most resourceful<br>person in the world","unresourceful","the most unresourceful<br>person in the world","resourceful","person","positive","morphant","resourceful",4,0.82
0,5895,"four_sliders",3,"Liam","lazy","male","the most ambitious<br>person in the world","unambitious","the most unambitious<br>person in the world","ambitious","person","positive","morphant","ambitious",1,0.74
0,5895,"four_sliders",3,"Laura","lazy","female","the most ambitious<br>person in the world","unambitious","the most unambitious<br>person in the world","not unambitious","person","neg_morphant","morphant","ambitious",2,0.74
0,5895,"four_sliders",3,"Monica","lazy","female","the most ambitious<br>person in the world","unambitious","the most unambitious<br>person in the world","unambitious","person","morphant","morphant","ambitious",3,0.21
