key,l95,mean,u95,prob_gt_0,prob_lt_0
ant,-1.5357011285979405,-1.2687778441867819,-1.002121006309263,0,100
b_Intercept,-0.20630229907395306,-0.09128492756423509,0.022597420974435803,5.779999999999999,94.22
morph_ant_v_negpos,-0.3159161740841459,-0.18034728236575528,-0.04513687804067989,0.545,99.455
morph_negnegpos_v_negant,-0.8019026087434253,-0.45207601006957643,-0.10223458750551484,0.64,99.36
morph_negnegpos_v_pos,-1.0680969518715282,-0.8010623870951559,-0.5340075658721253,0,100
morph_negpos_v_negnegpos,-1.5201252702649612,-1.1536203488051346,-0.7876430087592519,0,100
negant,0.2849285257141276,0.5172657970536845,0.7501837780168118,100,0
negnegpos,-0.24260307607568599,0.06518978698410804,0.37461560601741256,66.34,33.660000000000004
negpos,-1.3410757123956192,-1.0884305618210266,-0.8369584238779159,0,100
pos,1.0439384023203047,1.3183281841488403,1.593506801567694,100,0
