"workerid","rt","trial_type","trial_num","name","response","positive","endpoint_high","negation","sentence_type","adjective","referent","gender","superlative_endpoints","endpoint_low","antonym"
0,2470,"one_slider",1,"Gabriel",0.42,"wise","most wise","lexical","neg_positive","not wise","person","male",0,"most foolish","foolish"
0,1255,"one_slider",2,"Kathleen",0.49,"interesting","most interesting","morphological","neg_antonym","not uninteresting","person","female",0,"most uninteresting","uninteresting"
0,1392,"one_slider",3,"Alexander",0.62,"rich","richest","lexical","antonym","poor","person","male",1,"poorest","poor"
0,1319,"one_slider",4,"William",0.54,"tall","tallest","lexical","positive","tall","person","male",1,"shortest","short"
0,1280,"one_slider",5,"Jennifer",0.63,"strong","strongest","lexical","neg_antonym","not weak","person","female",1,"weakest","weak"
0,1359,"one_slider",6,"Claire",0.48,"educated","most educated","morphological","neg_positive","not educated","person","female",0,"most uneducated","uneducated"
0,1544,"one_slider",7,"Stephanie",0.54,"brave","most brave","lexical","neg_antonym","not cowardly","person","female",0,"most cowardly","cowardly"
0,1143,"one_slider",8,"David",0.44,"honest","most honest","morphological","neg_antonym","not dishonest","person","male",0,"most dishonest","dishonest"
0,1343,"one_slider",9,"Daniel",0.58,"friendly","most friendly","morphological","positive","friendly","person","male",0,"most unfriendly","unfriendly"
0,1471,"one_slider",10,"Kim",0.63,"hard-working","most hard-working","lexical","antonym","lazy","person","female",0,"most lazy","lazy"
0,1352,"one_slider",11,"Tom",0.59,"attractive","most attractive","morphological","positive","attractive","person","male",0,"most unattractive","unattractive"
0,1206,"one_slider",12,"Melinda",0.68,"polite","most polite","morphological","neg_positive","not polite","person","female",0,"most impolite","impolite"
0,1184,"one_slider",13,"Laura",0.71,"happy","happiest","morphological","antonym","unhappy","person","female",1,"unhappiest","unhappy"
0,1295,"one_slider",14,"Greg",0.49,"successful","most successful","morphological","antonym","unsuccessful","person","male",0,"most unsuccessful","unsuccessful"
0,2071,"one_slider",15,"Maya",0.39,"loud","most loud","lexical","neg_positive","not loud","person","female",0,"most quiet","quiet"
0,1239,"one_slider",16,"Stephen",0.36,"fat","fattest","lexical","positive","fat","person","male",1,"skinniest","skinny"
1,4611,"one_slider",1,"Maya",0.57,"polite","most polite","morphological","neg_antonym","not impolite","person","female",0,"most impolite","impolite"
1,4803,"one_slider",2,"Stephen",0.29,"successful","most successful","morphological","neg_positive","not successful","person","male",0,"most unsuccessful","unsuccessful"
1,4738,"one_slider",3,"Sophia",0.36,"mature","most mature","morphological","neg_positive","not mature","person","female",0,"most immature","immature"
1,3309,"one_slider",4,"Cameron",0.77,"honest","most honest","morphological","positive","honest","person","male",0,"most dishonest","dishonest"
1,3852,"one_slider",5,"William",0.28,"proud","most proud","lexical","neg_positive","not proud","person","male",0,"most humble","humble"
1,3187,"one_slider",6,"Laura",0.54,"tall","tallest","lexical","neg_antonym","not short","person","female",1,"shortest","short"
1,3785,"one_slider",7,"Veronica",0.83,"hard-working","most hard-working","lexical","positive","hard-working","person","female",0,"most lazy","lazy"
1,2961,"one_slider",8,"Monica",0.39,"loud","most loud","lexical","neg_positive","not loud","person","female",0,"most quiet","quiet"
1,3975,"one_slider",9,"Lucas",0.82,"brave","most brave","lexical","positive","brave","person","male",0,"most cowardly","cowardly"
1,3137,"one_slider",10,"Claire",0.27,"rich","richest","lexical","antonym","poor","person","female",1,"poorest","poor"
1,2498,"one_slider",11,"Michelle",0.81,"interesting","most interesting","morphological","positive","interesting","person","female",0,"most uninteresting","uninteresting"
1,2712,"one_slider",12,"Michael",0.19,"intelligent","most intelligent","morphological","antonym","unintelligent","person","male",0,"most unintelligent","unintelligent"
