language,enjoyment,asses,age,gender,education,comments,problems,fairprice,exptid,workerid
English,1,Yes,48,Male,3,,None,0.50,1,6e405bdae63736f14976fd81ce33dad0
English,1,Yes,28,Female,1,,no,.90,1,54f34f4b9fe0451715c567ac2e5d9481
English,2,Yes,27,Female,2,,no,.90,1,cdb24dcf9ff9bd218cae3299883fd8a6
English,2,Yes,56,Female,3,,,1.00,1,e238b5a840566cda00587f69ad95a225
English,2,Yes,34,Male,3,no issues,none,0.90,1,009d5c1ba95b1bb0b841c4edaaac672b
English,2,Yes,28,Female,2,,no,1.00,1,e5927e80fc20543641b7d15f5da5a2a3
English,1,Yes,51,Male,3,,,.90,1,5241c2fe9605cc466afffb02a089f055
English,1,Yes,33,Female,4,,no,.90,1,358d273699fb33216302c04af7b3c9ea
English,2,Yes,58,Female,3,,no,1.20,1,cec5155e05e0fece1ea35233e1b580c1
English,2,Yes,57,Female,3,,no,.90,1,5fef6bbd66bd8c097ccd1fb04e66214e
English,1,Yes,36,Male,2,Love this,No problems,1.00,1,8ee832e3c5fa2992a4d585219222de1b
English,2,Yes,34,Male,4,I really like the process of applying relative weight to the otherwise-organic presentation of common vernacular.  It helped me think more critically and objectively about the idea of quantifiable positional relevance within the broader linguistic domain.  Thanks for the opportunity!  Be well!,None that I could detect.,1.25,1,5cb7b89e9ffd253b69016bfbe3741efc
English,1,Yes,30,Male,3,,,.90,1,49e86bb63f95c733aa33cb44ba44a330
English,2,Yes,22,Male,2,,no,.90,1,0a3f4d267f2d38e19515bf22ae120994
english,1,Yes,31,Male,3,no,no,1.00,1,8499a5f05d6ab9af847c8511420a7093
english,2,Yes,27,Male,1,great and interesting hit,no issues ,1.00,1,e0287c56d4d93f21b112e2108648eb78
English,2,Yes,30,Female,3,,no problems,1.00,1,a2a518c3f00b452c77a4e8e462f74726
English,2,Yes,48,Female,3,None,No,0.90,1,8f10b408ba7b315f7f390c60909cb3ec
english,2,Yes,28,Female,2,,,1.00,1,3adfd489622f2bb57fa78f0a916957b8
English,1,Yes,26,Female,3,Thanks!,No,1.00,1,6249a1797e7ebf5985df10889a472c73
English,2,Yes,29,Male,3,,,1.00,1,c1bcc3dc7a15bf3a9ab76c01d5e146da
English,1,Yes,38,Male,2,,,.90,1,43c967d888da00c1ed560b45a828244a
English,1,Yes,36,Male,3,,,.9,1,9f160eda40f23894fe8d0f045fdc1f7a
English,1,Yes,36,Male,4,,,.85,1,ed1956a712a2e8aedafe8a7b52aa304a
English,2,No,28,Male,3,"No comments or feedback to give. Thank you for allowing me to participate, I hope I was able to help! ","No problems or bugs, everything seemed to work perfectly. ",$1.00,1,0d6ab12efafd6934220d01b1f0f10c0c
English,1,Yes,25,Male,3,,No,1.50,1,2724ec1319f673c043f3719e0ec429d9
English,2,Yes,33,Male,2,,No,.50,1,2d0aafc6e30bb3baeecd15ed0b3991ba
English,1,Yes,30,Female,2,,,.90,1,d5f862406fe50c980c06e4e7cce57507
English,2,Yes,61,Male,2,I honestly didn't pay any attention to the names. I was more focused on the task. ,no,yes,1,df74b52baf466226d04b59cdfbf5cf55
english,2,Yes,46,Female,3,thank you!,none,.90,1,09a4ba48d832cf47cb6d5cd5379f80cf
English,2,Yes,33,Male,3,none,no,0.90,1,aa551db304442bea38b6775a560aa6f4
English,1,Yes,30,Male,2,,no,yes,1,5da882c61281020ce230c36cc0afa54a
English,2,Yes,30,Female,3,I like this survey,Nothing,Yes,1,5c90bafb9982e4170c5412edf6fe434b
english,1,Yes,28,Male,2,,no,1.00,1,91258cf2cf3f7190fa4f32d2122ed0f3
English,1,Yes,34,Male,1,,nope,0.90,1,785e2a784e69d43768dd31dad56d6f36
English,1,Yes,31,Female,3,n/a,no,1.00,1,a9f8dd9cf3929d0f34d7e5407c4e356d
english,2,Yes,25,Male,3,,no,1.00,1,9e03070516129e3156eae072b33cd32d
English,2,Yes,61,Female,1,This was pretty easy for the pay you're giving.,I don't think so,.90,1,f5e3559571193fe509b2afc4d7ba38cf
english,2,Yes,36,Male,3,,no,1,1,0ee1a082ea43059dbf8d4c7902baa7a9
English,1,Yes,36,Male,3,,no,0.90,1,7492ffe0c9e0391784041990aa5d7f33
english,2,Yes,45,Male,3,none,none,1.5,1,0c9273155c04aab1a893c4c0359c2d04
English,1,Yes,35,Female,2,this was an interesting hit,no,.90,1,c440288f60703b55f7126c8b4b7311aa
English,1,Yes,34,Female,3,,none,1.00,1,80a32ef6997081d960137eb4f15419da
English,2,Yes,42,Female,1,,no,1.00,1,5798834be68584b1bdb46dfa7a95b878
English,2,Yes,30,Male,3,,no,1.25,1,0e3fa8b8c47c59a9c3030c297d624bb2
